X,Y,name,elevation
-74.076856887,4.6241663471,091 Urb la Victoria,2597.4
-74.0613158169,4.6639211637,680 Estación cl 76,2586.6
-74.0574370231,4.6618586825,298 Embajada de Paz de Colombia,2599.9
-74.0558520891,4.6608147584,297 Embajada de Inglaterra,2603.8
-74.0777087555,4.6545976806,NZY,2585.2
-74.0780146871,4.6514764489,NZZ,2585.9
-74.0782122748,4.6480329009,NYE,2586.4
-74.071238885,4.622943853,519 Teusaquillo,2604.8
-74.0770996053,4.6218467578,NYF,2607.3
-74.0653660809,4.6198170528,NYG,2624
-74.0667097838,4.6211719855,NYH,2621.1
-74.0709872916,4.6208576392,138 Teusaquillo,2623.2
-74.0696391346,4.6120477845,656 Planetario de Bogotá,2629.8
-74.0674068032,4.6124512041,663 Plaza de toros la Santamaría,2643.8
-74.0664492388,4.616311012,662 San Martín,2629.9
-74.0687476078,4.6160287425,675 Estación Museo nacional,2627.2
-74.0691539638,4.6147498302,NYI,2626
-74.0609779581,4.6387452073,554 Cli San Tomás,2592.7
-74.0637983888,4.6396244601,057 Confenalco,2581.4
-74.0656539705,4.640179812,262 Quesada,2571.6
-74.0677639429,4.6404973134,261 Quesada,2579.9
-74.0704495966,4.6409962843,390 Banco Central,2580.5
-74.0735289564,4.6415793626,389 CC Morichal,2576.3
-74.0605483856,4.6410513623,556 Bosque Calderon,2621.4
-74.0601027198,4.6425599791,560 U Salle sede Chapinero,2630
-74.0662028463,4.6621627521,050 Colombia,2596.2
-74.068786987,4.6641301211,003 Pq Alcázares,2589.1
-74.0704881598,4.6653937667,005 Alcázares,2588
-74.07190297,4.6664444329,006 Monumento Rafael Uribe Uribe,2587
-74.063735895,4.6604551591,317 Colombia,2590.6
-74.056234723,4.6556760231,316 Cr 8,2628
-74.0543140098,4.6688717371,296 Pq Leon de Greiff,2588.1
-74.0528132222,4.6673935233,295 CC Andino,2585.8
-74.0507292375,4.6655212808,294 El Retiro,2612.8
-74.0396166976,4.6783404056,217 Pq público La Reserva,
-74.0446729143,4.6692653744,039 Chicó Oriental,2539.1
-74.0463188712,4.6659060671,040 El Refugio,2526.2
-74.0489442996,4.6625362444,041 Embajada del Perú,2537.9
-74.0525375375,4.658904884,366 El Nogal,2593.4
-74.0541859344,4.6571520763,367 Calle 74,2602.3
